Clash Name,Total 20-02-25,Unresolved 20-02-25,Total 20-03-03,Unresolved 20-03-03,Total 20-03-11,Unresolved 20-03-11,Total 20-03-26,Unresolved 20-03-26
Z02&4_Elect. [ARP] vs. Elect. [ARP],24,24,36,15,47,22,47,22
Z02&4_Hydr. [ARP] vs. Fire [TRI],0,0,0,0,0,0,0,0
Z02&4_Struct. [ARP] vs. Hydr. [ARP],19,19,27,20,29,16,40,27
Z02&4_Arch. BLK [GAS] vs. Services,2,2,3,2,1,1,1,0
Z02&4_Hydr. [ARP] vs. Fire [ARP],0,0,1,1,1,0,1,0
Z02&4_Fire [ARP] vs. Fire [TRI],0,0,0,0,0,0,0,0
Z02&4_Arch. [GAS] vs. Struct. [ARP],4,4,78,75,123,55,114,35
Z02&4_Arch. [GAS] vs. Fire [ARP],18,18,28,19,36,14,34,12
Z02&4_Struct. [ARP] vs. Fire [TRI],0,0,0,0,0,0,0,0
Z02&4_Mech. [ARP] vs. Fire [ARP],8,8,9,1,12,3,12,2
Z02&4_Arch. [GAS] vs. Hydr. [ARP],10,10,15,10,20,7,19,6
Z02&4_Arch. [GAS] vs. Elect. [ARP],79,79,104,72,153,50,151,48
Z02&4_Hydr. [ARP] vs. Electr. [ARP],7,7,9,5,9,0,9,0
Z02&4_Arch. [GAS] vs. Fire [TRI],0,0,0,0,0,0,0,0
Z02&4_Arch. BLK [GAS] vs. Struct. [ARP],2,2,2,2,2,2,2,0
Z02&4_Struct. [ARP] vs. Mech. [ARP],27,27,45,32,61,38,80,57
Z02&4_Arch. PENO [GAS] vs. Struct. [ARP],0,0,0,0,0,0,0,0
Z02&4_Electr. [ARP] vs. Fire [TRI],0,0,0,0,0,0,0,0
Z02&4_Mech [ARP] vs. Mech [ARP],9,9,9,0,9,0,17,8
Z02&4_Struct. [ARP] vs. Elect. [ARP],1,1,16,15,39,29,39,29
Z02&4_Mech. [ARP] vs. Hydr. [ARP],1,1,2,1,2,0,2,0
Z02&4_Mech. [ARP] vs. Fire [TRI],1,1,1,0,1,0,1,0
Z02&4_Electr. [ARP] vs. Fire [ARP],9,9,13,8,26,15,29,13
Z02&4_Mech. [ARP] vs. Elect. [ARP],26,26,32,5,34,6,34,6
Z02&4_Fire [ARP] vs. Fire [ARP],1,1,3,2,3,1,3,1
Z02&4_Arch. [GAS] vs. Mech. [ARP],36,36,48,16,61,18,54,14
Z02&4_Struct. [ARP] vs. Fire [ARP],0,0,4,4,5,2,6,3
Z02&4_Hydr. [ARP] vs. Hydr. [ARP],0,0,1,1,1,0,2,1
